id,nominador,nominado,práctica,motivo,fecha
1523,WIRZZR,MMMROI,trabajo en equipo,flexibilidad,2020-04-28 11:16:40
1524,OTDUUD,ICOBBV,trabajo en equipo,eficiencia,2022-08-23 14:37:30
1525,SKBQGD,GHZJTZ,5S,eficiencia,2022-05-27 13:28:42
1526,YYZTHO,RXRBPK,trabajo en equipo,liderazgo,2022-01-25 12:16:25
1527,ZVRSPJ,YELGTT,5S,eficiencia,2021-03-15 13:12:47
1528,MYMUVU,KVXWQK,Gestión visual,flexibilidad,2022-03-17 13:59:35
1529,WPCELQ,HOSBFJ,Mejor enfocada,integridad,2021-01-13 10:42:49
1530,WEAMZG,HDMEBS,5S,eficiencia,2022-04-26 16:08:07
1531,WJTRJS,MKXWIX,trabajo en equipo,liderazgo,2020-10-15 11:39:06
1532,YYZTHO,WPCELQ,Gestión visual,eficiencia,2021-12-06 08:44:00
1533,RFOFIV,PWAOVJ,Gestión visual,eficiencia,2020-02-07 09:19:16
1534,OALJGY,GULPBH,Mejor enfocada,integridad,2021-01-19 08:46:15
1535,ZFSNEE,YYZTHO,Mejor enfocada,integridad,2020-03-02 09:19:37
1536,ZJTHTP,ZGFFFA,5S,integridad,2020-12-11 15:13:50
1537,ZVRSPJ,UPALUH,Mejor enfocada,flexibilidad,2021-07-20 09:23:49
1538,VFHEHR,PKOKGH,Mejor enfocada,liderazgo,2021-06-02 12:41:57
1539,MARBVV,GZTILD,Gestión visual,integridad,2021-05-13 13:19:36
1540,RZBQVC,PHZJVT,Gestión visual,eficiencia,2020-07-21 13:16:15
1541,ZJTHTP,PWAOVJ,Mejor enfocada,integridad,2021-07-22 12:30:22
1542,SLTRCW,LGERMY,Gestión visual,integridad,2020-09-23 12:28:44
1543,XKNINO,SRHEUW,5S,integridad,2021-07-27 16:53:39
1544,YPEREB,YELGTT,Mindset digital,integridad,2020-05-11 10:33:52
1545,TJZCUB,KJSLKY,5S,eficiencia,2020-02-28 13:00:21
1546,RHLLVF,KEUSNF,Gestión visual,eficiencia,2021-02-08 10:43:55
1547,UXOIKV,GULPBH,5S,flexibilidad,2021-04-09 15:15:57
1548,XOKEPR,AHCZOB,Mindset digital,integridad,2022-06-15 09:44:19
1549,TTJBUR,SLTRCW,5S,eficiencia,2020-03-09 13:05:03
1550,YXITAI,LTJQSN,5S,integridad,2020-09-28 09:15:07
1551,QWEVBT,OHZSFW,5S,flexibilidad,2021-07-14 13:51:58
1552,XOKEPR,SKBQGD,5S,eficiencia,2020-12-25 15:45:36
1553,YYZTHO,THIDGP,Gestión visual,flexibilidad,2020-10-22 13:49:03
1554,XPKFER,XKNINO,Mejor enfocada,liderazgo,2022-02-14 12:57:29
1555,WITHGI,KJSLKY,Mindset digital,flexibilidad,2020-02-04 12:25:29
1556,YSDXVW,USOPPP,Mejor enfocada,eficiencia,2020-09-03 15:27:18
1557,NUBWLD,HGTZXV,5S,integridad,2020-08-21 13:43:19
1558,TOUMIM,RHBVCY,Gestión visual,eficiencia,2021-12-23 13:53:02
1559,PAFJGV,ODRKER,Mindset digital,flexibilidad,2022-12-22 08:25:51
1560,TVGKMZ,KQMIRF,5S,flexibilidad,2021-06-18 15:46:40
1561,TJVMBD,LTJQSN,Mejor enfocada,integridad,2022-03-16 14:39:41
1562,HDMEBS,AICYGJ,Gestión visual,flexibilidad,2021-01-18 16:49:10
1563,LBTOGT,CUCDHW,Mindset digital,flexibilidad,2021-12-21 11:58:34
1564,DHEKDV,DHEKDV,Gestión visual,integridad,2021-05-19 12:26:23
1565,XOKEPR,KLBYOH,trabajo en equipo,flexibilidad,2021-05-04 14:22:16
1566,XXXQMD,KJSLKY,trabajo en equipo,integridad,2022-06-10 10:14:59
1567,HVGQZL,ELRFFS,Mejor enfocada,integridad,2022-08-12 08:10:10
1568,OKOBZI,ODRKER,Mejor enfocada,flexibilidad,2021-01-21 12:28:38
1569,USOPPP,FJQVLT,Gestión visual,liderazgo,2021-03-09 08:42:17
1570,URYLNS,LHAHZY,trabajo en equipo,integridad,2022-12-19 11:14:01
1571,UXWVVZ,TJVMBD,trabajo en equipo,flexibilidad,2020-06-09 10:23:51
1572,OALJGY,OALJGY,Mindset digital,eficiencia,2022-01-27 12:18:07
1573,RZBQVC,RHLLVF,Mejor enfocada,integridad,2020-04-16 10:42:57
1574,ZGFFFA,JSRCFO,Mejor enfocada,integridad,2021-12-17 09:02:42
1575,JQFVBG,HVSCPV,Mejor enfocada,eficiencia,2022-04-13 08:04:47
1576,TJVMBD,SKBQGD,5S,flexibilidad,2020-03-02 08:40:36
1577,VGUJXS,GSAZKQ,Mindset digital,eficiencia,2021-08-11 15:47:35
1578,YELGTT,GSAZKQ,Mejor enfocada,eficiencia,2020-03-13 12:16:39
1579,TJVMBD,LYQTZB,5S,liderazgo,2020-05-14 09:36:28
1580,WITHGI,TJZCUB,Gestión visual,eficiencia,2020-10-05 10:22:55
1581,OALJGY,LMJATX,Mindset digital,eficiencia,2022-08-17 08:56:11
1582,YWBCVM,THIDGP,5S,integridad,2020-10-20 15:27:40
1583,SKTDVR,ODRKER,Gestión visual,integridad,2020-04-23 11:10:18
1584,PWAOVJ,HCETRA,trabajo en equipo,flexibilidad,2020-06-10 15:18:50
1585,TQGKAB,ELRFFS,trabajo en equipo,eficiencia,2020-04-21 13:15:53
1586,YMYLFX,HGTZXV,Gestión visual,flexibilidad,2022-11-25 08:31:13
1587,YWBCVM,SKTDVR,Mejor enfocada,liderazgo,2020-01-15 13:59:27
1588,XXDOCZ,VGUJXS,Mejor enfocada,integridad,2020-08-19 08:01:03
1589,GHZJTZ,ELRFFS,trabajo en equipo,integridad,2022-02-01 11:44:43
1590,YBPEUH,SRHEUW,Mindset digital,eficiencia,2022-03-11 13:50:09
1591,QBRDLY,AORPNC,Gestión visual,integridad,2022-10-03 15:46:27
1592,UGJBEZ,IJZCZD,trabajo en equipo,integridad,2021-11-01 12:12:59
1593,XGLFJS,GULPBH,Mejor enfocada,liderazgo,2020-02-20 16:45:13
1594,WITHGI,GHZJTZ,Mejor enfocada,eficiencia,2022-11-17 12:13:15
1595,XQOAVC,LUTHTK,trabajo en equipo,integridad,2022-01-10 09:28:13
1596,OSDYJF,JVPKMH,5S,eficiencia,2021-02-24 16:39:24
1597,KELKAC,KELKAC,Mindset digital,integridad,2021-10-22 10:11:39
1598,GULPBH,CRLVKD,Gestión visual,eficiencia,2020-01-16 13:52:41
1599,SCEBLG,GJNMKD,Mindset digital,eficiencia,2020-09-16 14:52:01
1600,XQOAVC,QBRDLY,Mindset digital,flexibilidad,2021-05-06 08:58:56
1601,RXRBPK,RFOFIV,trabajo en equipo,integridad,2021-02-04 08:26:08
1602,YWBCVM,QWEVBT,trabajo en equipo,liderazgo,2021-01-13 16:07:15
1603,MDEJQG,FVVYVK,Mindset digital,eficiencia,2021-07-06 09:25:30
1604,ZJTHTP,MDEJQG,Gestión visual,liderazgo,2021-12-28 08:00:46
1605,YELGTT,RHBVCY,Mejor enfocada,integridad,2022-05-02 15:33:29
1606,OALJGY,DIUYMP,trabajo en equipo,integridad,2020-01-06 15:06:44
1607,QIFFFW,CSVDUZ,trabajo en equipo,integridad,2021-05-03 16:50:10
1608,TJZCUB,SLTRCW,5S,liderazgo,2022-12-01 11:10:53
1609,PDZTYG,LUTHTK,Gestión visual,liderazgo,2021-06-23 10:25:41
1610,JYSKJJ,GJNMKD,Gestión visual,liderazgo,2020-07-17 09:03:35
1611,RHMZLJ,LOCLBR,Mejor enfocada,flexibilidad,2021-02-19 12:38:46
1612,TJZCUB,RCBJMC,Gestión visual,flexibilidad,2022-05-24 15:21:38
1613,RHMZLJ,ODRKER,Mejor enfocada,liderazgo,2022-10-19 14:11:26
1614,PARQZG,KEUSNF,Mindset digital,integridad,2021-07-26 15:57:30
1615,ZJTHTP,XQOAVC,Gestión visual,integridad,2022-07-05 12:09:34
1616,ZJTHTP,ZJTHTP,trabajo en equipo,flexibilidad,2020-06-18 10:03:12
1617,TVGKMZ,PUJIAS,Gestión visual,eficiencia,2022-03-10 10:15:14
1618,KLBYOH,HXLIJQ,Gestión visual,eficiencia,2022-03-09 11:29:30
1619,UIUGGE,TQGKAB,Gestión visual,flexibilidad,2020-03-17 14:58:37
1620,YXITAI,RHLLVF,Gestión visual,flexibilidad,2021-09-13 13:21:11
1621,UGJBEZ,KLASJK,Gestión visual,integridad,2022-10-19 12:23:58
1622,MYMUVU,MYMUVU,5S,integridad,2020-01-17 11:01:43
1623,WITHGI,LOCLBR,trabajo en equipo,eficiencia,2021-07-01 09:16:28
1624,LGERMY,AICYGJ,Gestión visual,integridad,2021-01-26 09:43:34
1625,MDSLPF,ICSTSE,Mindset digital,integridad,2022-01-27 14:38:18
1626,PWAOVJ,MMMROI,5S,flexibilidad,2022-10-05 08:55:45
1627,RIXIXG,GULPBH,Mindset digital,integridad,2022-04-01 09:25:07
1628,WIRZZR,FDKEFG,Gestión visual,liderazgo,2020-07-22 13:01:30
1629,YELGTT,URYLNS,Mindset digital,eficiencia,2020-11-12 14:10:48
1630,IWZWZC,ASKKCQ,Mindset digital,integridad,2022-01-19 08:55:52
1631,LHAHZY,JYSKJJ,Mindset digital,flexibilidad,2021-05-26 14:23:24
1632,YYZTHO,YELGTT,Gestión visual,liderazgo,2022-05-26 10:12:10
1633,WIRZZR,KVXWQK,Mindset digital,liderazgo,2021-10-01 15:50:34
1634,KEUSNF,EAOTWG,Gestión visual,flexibilidad,2021-07-19 15:53:19
1635,XQOAVC,UGTYPD,Mindset digital,eficiencia,2020-01-21 14:45:23
1636,KHQIMX,ACMRSR,5S,flexibilidad,2022-02-14 11:21:07
1637,XQOAVC,MSAPPM,5S,flexibilidad,2022-11-22 11:14:17
1638,QWEVBT,DSPLFC,Gestión visual,integridad,2021-07-28 08:40:08
1639,ODRKER,OCRIHG,Mindset digital,liderazgo,2022-10-28 08:08:11
1640,NGQYDO,GULPBH,Mejor enfocada,eficiencia,2021-09-07 08:46:25
1641,YELGTT,RHBVCY,trabajo en equipo,eficiencia,2021-08-26 11:53:44
1642,GXGRWS,ACMRSR,Mejor enfocada,eficiencia,2021-11-15 08:15:51
1643,SRHEUW,GSAZKQ,Mejor enfocada,eficiencia,2020-04-17 16:27:09
1644,USOPPP,RHLLVF,Gestión visual,flexibilidad,2020-12-23 11:35:01
1645,ZJTHTP,XQOAVC,5S,liderazgo,2020-10-20 11:32:36
1646,TJVMBD,GSAZKQ,5S,liderazgo,2020-12-07 12:04:03
1647,RXRBPK,QIFFFW,5S,integridad,2020-06-24 13:07:16
1648,XOKEPR,NOPCYT,Mejor enfocada,integridad,2021-11-26 15:30:09
1649,XGLFJS,JVPKMH,5S,eficiencia,2022-06-13 15:03:19
1650,WEAMZG,MDSLPF,5S,liderazgo,2020-06-11 12:41:50
1651,TNFUQD,LTJQSN,trabajo en equipo,flexibilidad,2022-11-28 14:14:09
1652,XXDOCZ,XKNINO,5S,eficiencia,2021-10-21 09:46:14
1653,TQGKAB,ADACNO,Gestión visual,eficiencia,2021-10-26 09:48:33
1654,OQIZSN,OQASBV,trabajo en equipo,eficiencia,2020-10-05 16:32:49
1655,PKOKGH,CMSRDQ,Gestión visual,flexibilidad,2021-10-06 15:31:32
1656,URYLNS,KLASJK,Mindset digital,integridad,2022-01-06 13:52:05
1657,TNFUQD,JCOBFG,trabajo en equipo,eficiencia,2021-08-20 12:49:26
1658,MYMUVU,EQTLKU,Mejor enfocada,integridad,2020-04-20 13:51:29
1659,YSDXVW,XOKEPR,Mejor enfocada,integridad,2022-08-02 12:38:53
1660,XOKEPR,USOPPP,Gestión visual,eficiencia,2022-08-02 12:07:10
1661,HVSCPV,EKOPDB,5S,flexibilidad,2021-06-28 11:55:32
1662,ZGFFFA,XOKEPR,5S,liderazgo,2021-11-03 14:06:32
1663,UPALUH,TOUMIM,Mindset digital,integridad,2021-12-15 14:06:24
1664,YXITAI,UXOIKV,5S,eficiencia,2020-05-12 12:03:11
1665,XXDOCZ,AOPCNY,5S,liderazgo,2022-04-28 16:07:40
1666,MDEJQG,LGERMY,Mejor enfocada,integridad,2021-10-12 10:28:55
1667,UUSLBB,URYLNS,Mindset digital,liderazgo,2020-04-20 15:39:12
1668,GSAZKQ,CUCDHW,Mejor enfocada,integridad,2022-01-25 12:44:59
1669,YWBCVM,SCEBLG,Mindset digital,eficiencia,2020-12-01 10:58:49
1670,QBRDLY,EDTPEY,trabajo en equipo,flexibilidad,2021-07-21 10:02:26
1671,UPALUH,FSGQEK,trabajo en equipo,flexibilidad,2020-07-01 12:31:42
1672,YWBCVM,WTEZZM,Mejor enfocada,liderazgo,2021-08-06 13:06:05
1673,OCRIHG,AHCZOB,Mejor enfocada,integridad,2021-12-16 14:31:18
1674,FYNZIQ,FVVYVK,Mindset digital,liderazgo,2021-09-21 08:44:53
1675,WEAMZG,TJZCUB,Mindset digital,flexibilidad,2022-04-07 12:36:38
1676,YPEREB,OIMGGQ,Mejor enfocada,eficiencia,2020-02-25 14:38:37
1677,JYSKJJ,EDTPEY,Mindset digital,liderazgo,2020-10-02 13:11:12
1678,UPALUH,HPCBNT,trabajo en equipo,flexibilidad,2021-12-09 13:40:56
1679,TOUMIM,OHZSFW,Mindset digital,eficiencia,2020-08-17 10:42:23
1680,WTEZZM,WEAMZG,5S,integridad,2022-11-21 16:02:10
1681,OIMGGQ,DHEKDV,Gestión visual,integridad,2021-01-25 10:15:34
1682,VRLILS,VGUJXS,Mindset digital,integridad,2020-03-17 13:55:24
1683,RCBJMC,FJQVLT,Gestión visual,eficiencia,2020-12-10 14:29:11
1684,LOOGPX,CMSRDQ,trabajo en equipo,liderazgo,2020-12-21 10:18:07
1685,WEAMZG,PWAOVJ,Gestión visual,flexibilidad,2022-06-22 10:32:05
1686,TJVMBD,TCYMBR,Mindset digital,flexibilidad,2021-05-14 12:35:37
1687,UGJBEZ,BVNVRI,Gestión visual,flexibilidad,2021-05-19 14:52:39
1688,YELGTT,QIFFFW,Mejor enfocada,flexibilidad,2020-01-08 11:18:01
1689,LUTHTK,GGCZIW,Mindset digital,liderazgo,2021-03-19 15:00:51
1690,NGQYDO,MSAPPM,5S,integridad,2021-06-01 13:05:16
1691,PDZTYG,ASKKCQ,trabajo en equipo,flexibilidad,2020-08-19 14:27:37
1692,FJQVLT,BKSNPB,trabajo en equipo,eficiencia,2021-01-13 09:14:34
1693,RXEKOY,RHLLVF,Mindset digital,liderazgo,2022-05-20 08:46:00
1694,XOKEPR,COAWHR,trabajo en equipo,eficiencia,2021-11-05 12:43:33
1695,FVVYVK,AESPXA,trabajo en equipo,eficiencia,2022-08-03 15:15:04
1696,WTEZZM,EAOTWG,Mindset digital,integridad,2021-11-11 09:13:01
1697,ZGFFFA,VFHEHR,trabajo en equipo,flexibilidad,2022-04-21 13:28:22
1698,TTJBUR,OKOBZI,Mejor enfocada,eficiencia,2021-02-16 15:04:24
1699,RXRBPK,CGGPQA,Gestión visual,flexibilidad,2020-01-17 09:11:30
1700,UGJBEZ,QOUKJT,Mindset digital,integridad,2020-06-12 16:23:13
1701,YYZTHO,RIXIXG,Mejor enfocada,integridad,2022-07-06 13:29:23
1702,ODRKER,MARBVV,Mindset digital,liderazgo,2020-02-19 10:24:54
1703,YXITAI,WPQVQF,5S,eficiencia,2022-11-04 11:19:05
1704,YBPEUH,GGCZIW,5S,flexibilidad,2022-01-27 16:52:42
1705,UXWVVZ,MDEJQG,Mindset digital,liderazgo,2021-05-06 15:54:58
1706,GULPBH,CGGPQA,Gestión visual,integridad,2020-04-16 14:55:16
1707,XKNINO,UUSLBB,Gestión visual,integridad,2020-12-11 09:56:29
1708,TJZCUB,JVPKMH,Mindset digital,integridad,2022-05-06 13:04:39
1709,YPEREB,WPQVQF,trabajo en equipo,flexibilidad,2022-02-04 09:17:25
1710,RXEKOY,COAWHR,Gestión visual,eficiencia,2022-04-01 15:58:24
1711,KVXWQK,GULPBH,Gestión visual,integridad,2021-06-24 10:02:54
1712,XXDOCZ,SRHEUW,Gestión visual,integridad,2020-04-15 15:09:41
1713,YBPEUH,USOPPP,Mejor enfocada,liderazgo,2022-04-15 09:19:40
1714,XOKEPR,DSPLFC,trabajo en equipo,integridad,2020-05-13 13:12:30
1715,YELGTT,YELGTT,trabajo en equipo,liderazgo,2021-02-10 08:05:33
1716,WIRZZR,BKSNPB,Mejor enfocada,flexibilidad,2020-02-21 12:42:06
1717,XXDOCZ,UUSLBB,trabajo en equipo,integridad,2022-04-13 14:36:13
1718,XKNINO,BGOPCF,Mejor enfocada,flexibilidad,2021-11-18 13:36:31
1719,THIDGP,OHZSFW,Mindset digital,integridad,2021-08-06 08:40:45
1720,WPQVQF,DIUYMP,Mejor enfocada,eficiencia,2020-06-24 13:14:30
1721,QOUKJT,PHZJVT,trabajo en equipo,flexibilidad,2020-11-12 16:39:38
1722,YYZTHO,TJZCUB,trabajo en equipo,liderazgo,2021-04-23 14:20:42
1723,SKBQGD,PZTNGZ,Gestión visual,liderazgo,2020-01-22 16:08:02
1724,WEAMZG,PHZJVT,Gestión visual,integridad,2020-06-22 13:17:52
1725,ICSTSE,GYWCQG,Mejor enfocada,eficiencia,2021-07-23 08:10:20
1726,UUSLBB,SRHEUW,Gestión visual,integridad,2021-01-13 16:05:21
1727,JGDITO,JGDITO,Gestión visual,flexibilidad,2020-10-05 09:15:22
1728,ZGFFFA,KUIQQV,5S,flexibilidad,2020-07-14 09:54:47
1729,KLBYOH,CMSRDQ,Mejor enfocada,integridad,2020-07-07 16:29:24
1730,ZVRSPJ,VRLILS,5S,flexibilidad,2022-11-21 09:34:04
1731,YBPEUH,UXOIKV,5S,eficiencia,2020-08-10 11:54:59
1732,ZGFFFA,YSDXVW,Mejor enfocada,flexibilidad,2020-11-12 11:52:50
1733,LRNAYY,KJSLKY,5S,eficiencia,2021-02-09 08:23:34
1734,OBTZBH,IYSOAD,5S,eficiencia,2021-11-24 15:14:30
1735,TQGKAB,OKOBZI,Gestión visual,integridad,2020-07-24 08:03:10
1736,JQFVBG,ASKKCQ,trabajo en equipo,integridad,2020-04-02 08:09:34
1737,KLBYOH,CGGPQA,trabajo en equipo,integridad,2020-10-01 08:40:07
1738,XKNINO,QIFFFW,5S,liderazgo,2022-06-02 15:19:30
1739,QOQREG,QOQREG,Gestión visual,liderazgo,2021-11-05 16:59:22
1740,RHMZLJ,PZTNGZ,trabajo en equipo,integridad,2020-01-10 10:37:01
1741,RHMZLJ,OHZSFW,Gestión visual,flexibilidad,2022-12-05 11:03:45
1742,SKBQGD,CSVDUZ,Gestión visual,flexibilidad,2022-02-04 08:44:13
1743,SPISFP,ICSTSE,Gestión visual,integridad,2021-01-28 08:01:46
1744,UGJBEZ,CMSRDQ,trabajo en equipo,flexibilidad,2021-03-16 16:48:41
1745,HOCGQX,FISWLE,Gestión visual,liderazgo,2021-09-17 09:26:12
1746,YELGTT,OCRIHG,Mejor enfocada,integridad,2021-12-06 09:12:20
1747,UUSLBB,TTJBUR,trabajo en equipo,flexibilidad,2021-04-21 09:38:35
1748,DIUYMP,DBAUMT,Mindset digital,flexibilidad,2021-06-21 13:57:23
1749,JGDITO,HGTZXV,trabajo en equipo,eficiencia,2021-12-21 11:20:42
1750,YSDXVW,MARBVV,Mindset digital,eficiencia,2021-03-04 10:26:54
1751,UXWVVZ,SESMZO,Mejor enfocada,eficiencia,2021-08-11 08:44:21
1752,WJTRJS,GJXAOW,Mindset digital,eficiencia,2022-09-06 09:40:30
1753,YWBCVM,LOCLBR,trabajo en equipo,integridad,2022-12-05 12:47:13
1754,RIXIXG,AESPXA,Gestión visual,flexibilidad,2020-03-17 15:39:11
1755,XKNINO,XKNINO,Mejor enfocada,integridad,2020-01-21 13:26:04
1756,YMYLFX,OALJGY,trabajo en equipo,eficiencia,2021-12-22 10:34:04
1757,XXDOCZ,UUSLBB,Gestión visual,flexibilidad,2021-01-01 09:50:12
1758,ULHLQI,DHEKDV,Mejor enfocada,integridad,2020-06-02 09:07:10
1759,RHBVCY,HGTZXV,Gestión visual,integridad,2021-07-09 08:22:03
1760,VRLILS,AOPCNY,5S,flexibilidad,2022-03-22 16:59:29
1761,KLBYOH,JYSKJJ,Gestión visual,liderazgo,2022-08-25 15:12:42
1762,JCOBFG,ADACNO,trabajo en equipo,flexibilidad,2020-06-17 10:49:37
1763,VRLILS,THIDGP,Mindset digital,eficiencia,2022-06-22 13:43:39
1764,WPCELQ,QVGXTN,Mindset digital,eficiencia,2022-09-08 14:47:03
1765,UXOIKV,ACMRSR,Mejor enfocada,eficiencia,2020-12-11 11:49:27
1766,XKNINO,UXWVVZ,Mindset digital,flexibilidad,2020-12-25 10:50:13
1767,WJTRJS,UXOIKV,5S,integridad,2020-02-21 10:54:12
1768,XOKEPR,LRDAXO,Mejor enfocada,liderazgo,2022-01-07 09:16:43
1769,PUJIAS,OSDYJF,5S,liderazgo,2021-08-02 15:40:09
1770,RHLLVF,CGGPQA,Mindset digital,integridad,2020-04-15 15:37:21
1771,MKXWIX,LHAHZY,Mindset digital,flexibilidad,2022-05-04 13:07:08
1772,UGTYPD,TNFUQD,Gestión visual,eficiencia,2020-12-28 15:49:38
1773,TJVMBD,PUJIAS,Gestión visual,eficiencia,2020-09-11 10:42:05
1774,VFHEHR,GXGRWS,5S,eficiencia,2021-09-01 11:48:33
1775,URYLNS,ULHLQI,Mejor enfocada,flexibilidad,2020-04-20 16:11:40
1776,HTWLQX,GSAZKQ,trabajo en equipo,integridad,2021-05-14 11:16:50
1777,YYZTHO,OALJGY,Mejor enfocada,integridad,2021-11-26 12:12:52
1778,IRQQGL,HPCBNT,Mindset digital,liderazgo,2022-12-13 14:10:34
1779,SKBQGD,OHZSFW,Mejor enfocada,integridad,2021-07-23 10:55:45
1780,ZGFFFA,WJTRJS,Mejor enfocada,integridad,2021-10-28 11:15:10
1781,SCEBLG,RIXIXG,5S,liderazgo,2020-05-19 13:17:29
1782,VRLILS,UPALUH,Mindset digital,liderazgo,2020-03-18 13:01:05
1783,QBRDLY,OKOBZI,trabajo en equipo,liderazgo,2021-02-26 16:33:26
1784,PUJIAS,PAFJGV,Mindset digital,flexibilidad,2021-06-17 08:19:05
1785,OKOBZI,IYSOAD,5S,eficiencia,2022-09-07 08:49:19
1786,UIUGGE,GGCZIW,5S,eficiencia,2021-08-09 08:54:23
1787,WJTRJS,UPALUH,trabajo en equipo,integridad,2022-05-23 09:59:00
1788,MSAPPM,EAOTWG,Gestión visual,liderazgo,2022-02-11 10:04:23
1789,VRLILS,OSDYJF,Mejor enfocada,integridad,2022-07-25 11:48:01
1790,WJTRJS,GZTILD,Mindset digital,liderazgo,2022-04-04 14:21:41
1791,YYZTHO,IWZWZC,Gestión visual,integridad,2021-06-25 15:08:59
1792,ZJTHTP,AVNCFG,Mindset digital,flexibilidad,2022-05-05 10:33:01
1793,RHLLVF,QBRDLY,trabajo en equipo,liderazgo,2021-11-17 14:15:48
1794,LRDAXO,HTWLQX,Mindset digital,flexibilidad,2021-01-15 09:20:55
1795,YXITAI,TJVMBD,Mejor enfocada,flexibilidad,2022-07-22 10:00:22
1796,PAFJGV,HOCGQX,Mejor enfocada,flexibilidad,2020-09-17 11:54:44
1797,GTKOAR,CRLVKD,Gestión visual,integridad,2022-04-07 08:39:21
1798,PWAOVJ,COAWHR,Gestión visual,liderazgo,2022-06-24 11:40:43
1799,WITHGI,TJVMBD,Gestión visual,liderazgo,2022-08-09 13:34:21
1800,MDSLPF,HVGQZL,Mindset digital,liderazgo,2020-05-26 15:11:21
1801,ZGFFFA,UIUGGE,5S,integridad,2022-08-19 10:10:10
1802,NCVITT,GTKOAR,trabajo en equipo,liderazgo,2020-02-13 14:21:46
1803,OIMGGQ,MELVYR,Mejor enfocada,eficiencia,2020-11-24 10:18:25
1804,OIMGGQ,MDEJQG,trabajo en equipo,integridad,2021-03-18 12:47:25
1805,NAAYMW,DSAIUZ,Mindset digital,integridad,2020-03-17 08:41:17
1806,QOUKJT,CGGPQA,5S,integridad,2021-01-14 12:33:45
1807,XBWZWG,EQTLKU,trabajo en equipo,liderazgo,2021-11-04 13:46:29
1808,YPEREB,FSGQEK,Mindset digital,integridad,2020-06-04 11:22:49
1809,UXWVVZ,SPISFP,Mejor enfocada,integridad,2022-02-02 16:02:42
1810,YELGTT,GJNMKD,Mindset digital,liderazgo,2022-03-16 14:24:35
1811,UGJBEZ,QOQREG,Mejor enfocada,liderazgo,2022-07-05 09:53:46
1812,MMMROI,LYQTZB,trabajo en equipo,liderazgo,2022-03-10 09:43:36
1813,YYZTHO,YYZTHO,Mindset digital,integridad,2020-05-25 09:16:01
1814,PAFJGV,BPNTVI,Mindset digital,liderazgo,2022-07-19 09:41:35
1815,LOCLBR,CGGPQA,trabajo en equipo,integridad,2020-04-23 10:02:00
1816,TJZCUB,NUQHZM,trabajo en equipo,eficiencia,2022-06-13 09:46:17
1817,JYSKJJ,DSAIUZ,Mejor enfocada,liderazgo,2021-01-26 15:36:16
1818,YELGTT,XPKFER,Gestión visual,liderazgo,2022-08-11 12:22:32
1819,YMYLFX,USOPPP,5S,flexibilidad,2020-09-25 15:56:12
1820,FDKEFG,DSPLFC,5S,flexibilidad,2021-11-08 08:39:52
1821,EAOTWG,ASKKCQ,Gestión visual,integridad,2022-09-07 08:32:49
1822,XOKEPR,MELVYR,trabajo en equipo,liderazgo,2021-07-19 10:41:36
1823,XOKEPR,SCEBLG,trabajo en equipo,integridad,2020-01-08 11:12:09
1824,UUSLBB,LMJATX,Mindset digital,integridad,2021-04-21 08:52:49
1825,ZVRSPJ,UTGFSG,trabajo en equipo,liderazgo,2022-04-13 08:38:19
1826,ZJTHTP,YPEREB,Gestión visual,eficiencia,2022-11-04 09:32:04
1827,WJTRJS,KEUSNF,Mindset digital,flexibilidad,2021-02-17 16:51:41
1828,WITHGI,MPAOFI,Gestión visual,flexibilidad,2020-02-12 12:06:00
1829,YPEREB,SLTRCW,trabajo en equipo,liderazgo,2021-08-05 15:12:02
1830,YYZTHO,YYZTHO,trabajo en equipo,flexibilidad,2022-09-20 15:22:49
1831,KHQIMX,BOVVQR,trabajo en equipo,integridad,2020-12-09 12:05:51
1832,KVXWQK,HPCBNT,Mejor enfocada,flexibilidad,2021-10-01 11:44:13
1833,PARQZG,OALJGY,5S,integridad,2022-08-03 11:22:30
1834,RXRBPK,LOOGPX,Mindset digital,liderazgo,2022-10-06 08:51:15
1835,SKBQGD,JYSKJJ,5S,integridad,2021-12-15 09:12:43
1836,PARQZG,KEUSNF,5S,eficiencia,2021-10-15 15:54:28
1837,LYQTZB,GHZJTZ,trabajo en equipo,eficiencia,2022-12-19 13:21:39
1838,WITHGI,EQTLKU,Mejor enfocada,integridad,2020-01-13 09:36:22
1839,VRLILS,MPAOFI,Mejor enfocada,flexibilidad,2021-10-22 12:45:46
1840,OHZSFW,AORPNC,trabajo en equipo,integridad,2022-12-07 16:45:32
1841,YYZTHO,WPCELQ,trabajo en equipo,flexibilidad,2020-09-02 10:53:26
1842,YXITAI,AICYGJ,Gestión visual,liderazgo,2021-10-05 15:09:50
1843,ZFSNEE,GZTILD,Mindset digital,eficiencia,2022-10-27 09:15:57
1844,SESMZO,LGERMY,Gestión visual,liderazgo,2020-03-18 10:09:10
1845,ODRKER,DSHWKM,trabajo en equipo,integridad,2020-08-24 13:02:13
1846,RIXIXG,IRQQGL,Mejor enfocada,eficiencia,2020-05-21 14:19:43
1847,RIXIXG,LRDAXO,Gestión visual,eficiencia,2021-04-19 13:03:39
1848,GHZJTZ,AESPXA,Mindset digital,flexibilidad,2020-03-12 09:18:45
1849,UTGFSG,LYQTZB,Gestión visual,liderazgo,2020-12-03 12:57:01
1850,JGDITO,AESPXA,trabajo en equipo,integridad,2022-08-16 12:17:01
